Region,Expected Reports,Received Reports,Compliance (%),Week,Year,Source link,Source title,datetime_loaded
National,6577,5195,79,16,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/IDSRS Weekly Report-16-2026 - NG (1).pdf,IDSRS Week 16 Bulletin (2026),2026-08-08T00:40:37Z
KP,2234,1722,77,15,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/Weekly Report-15-2026 .pdf,IDSRS Week 15 Bulletin (2026),2026-08-08T00:40:39Z
AJK,469,405,86,15,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/Weekly Report-15-2026 .pdf,IDSRS Week 15 Bulletin (2026),2026-08-08T00:40:39Z
ICT,38,29,76,15,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/Weekly Report-15-2026 .pdf,IDSRS Week 15 Bulletin (2026),2026-08-08T00:40:39Z
Balochistan,1308,648,57,15,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/Weekly Report-15-2026 .pdf,IDSRS Week 15 Bulletin (2026),2026-08-08T00:40:39Z
GB,417,359,86,15,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/Weekly Report-15-2026 .pdf,IDSRS Week 15 Bulletin (2026),2026-08-08T00:40:39Z
Sindh,2111,2081,99,15,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/Weekly Report-15-2026 .pdf,IDSRS Week 15 Bulletin (2026),2026-08-08T00:40:39Z
National,6577,5214,84,15,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/Weekly Report-15-2026 .pdf,IDSRS Week 15 Bulletin (2026),2026-08-08T00:40:39Z
KP,2234,1779,80,14,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/Weekly Report-14-2026.pdf,IDSRS Week 14 Bulletin (2026),2026-08-08T00:40:42Z
AJK,469,418,89,14,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/Weekly Report-14-2026.pdf,IDSRS Week 14 Bulletin (2026),2026-08-08T00:40:42Z
ICT,38,27,71,14,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/Weekly Report-14-2026.pdf,IDSRS Week 14 Bulletin (2026),2026-08-08T00:40:42Z
Balochistan,1308,599,46,14,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/Weekly Report-14-2026.pdf,IDSRS Week 14 Bulletin (2026),2026-08-08T00:40:42Z
GB,417,370,89,14,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/Weekly Report-14-2026.pdf,IDSRS Week 14 Bulletin (2026),2026-08-08T00:40:42Z
Sindh,2111,2072,98,14,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/Weekly Report-14-2026.pdf,IDSRS Week 14 Bulletin (2026),2026-08-08T00:40:42Z
National,6577,5213,80,14,2026,https://www.nih.org.pk/wp-content/uploads/2026/05/Weekly Report-14-2026.pdf,IDSRS Week 14 Bulletin (2026),2026-08-08T00:40:42Z
KP,2234,1806,81,13,2026,https://www.nih.org.pk/wp-content/uploads/2026/04/Weekly Report-13-2026.pdf,IDSRS Week 13 Bulletin (2026),2026-08-08T00:40:45Z
AJK,469,420,90,13,2026,https://www.nih.org.pk/wp-content/uploads/2026/04/Weekly Report-13-2026.pdf,IDSRS Week 13 Bulletin (2026),2026-08-08T00:40:45Z
ICT,38,30,79,13,2026,https://www.nih.org.pk/wp-content/uploads/2026/04/Weekly Report-13-2026.pdf,IDSRS Week 13 Bulletin (2026),2026-08-08T00:40:45Z
Balochistan,1308,560,43,13,2026,https://www.nih.org.pk/wp-content/uploads/2026/04/Weekly Report-13-2026.pdf,IDSRS Week 13 Bulletin (2026),2026-08-08T00:40:45Z
GB,417,321,77,13,2026,https://www.nih.org.pk/wp-content/uploads/2026/04/Weekly Report-13-2026.pdf,IDSRS Week 13 Bulletin (2026),2026-08-08T00:40:45Z
Sindh,2111,2076,98,13,2026,https://www.nih.org.pk/wp-content/uploads/2026/04/Weekly Report-13-2026.pdf,IDSRS Week 13 Bulletin (2026),2026-08-08T00:40:45Z
National,6577,5213,79,13,2026,https://www.nih.org.pk/wp-content/uploads/2026/04/Weekly Report-13-2026.pdf,IDSRS Week 13 Bulletin (2026),2026-08-08T00:40:45Z
KP,2234,1729,77,12,2026,https://www.nih.org.pk/wp-content/uploads/2026/04/Weekly Report-12-2026.pdf,IDSRS Week 12 Bulletin (2026),2026-08-08T00:40:48Z
AJK,469,395,84,12,2026,https://www.nih.org.pk/wp-content/uploads/2026/04/Weekly Report-12-2026.pdf,IDSRS Week 12 Bulletin (2026),2026-08-08T00:40:48Z
ICT,38,27,71,12,2026,https://www.nih.org.pk/wp-content/uploads/2026/04/Weekly Report-12-2026.pdf,IDSRS Week 12 Bulletin (2026),2026-08-08T00:40:48Z
Balochistan,1308,455,35,12,2026,https://www.nih.org.pk/wp-content/uploads/2026/04/Weekly Report-12-2026.pdf,IDSRS Week 12 Bulletin (2026),2026-08-08T00:40:48Z
GB,417,365,88,12,2026,https://www.nih.org.pk/wp-content/uploads/2026/04/Weekly Report-12-2026.pdf,IDSRS Week 12 Bulletin (2026),2026-08-08T00:40:48Z
Sindh,2111,2072,98,12,2026,https://www.nih.org.pk/wp-content/uploads/2026/04/Weekly Report-12-2026.pdf,IDSRS Week 12 Bulletin (2026),2026-08-08T00:40:48Z
National,6577,5043,77,12,2026,https://www.nih.org.pk/wp-content/uploads/2026/04/Weekly Report-12-2026.pdf,IDSRS Week 12 Bulletin (2026),2026-08-08T00:40:48Z
